Date,0005.HK,0700.HK,1299.HK,2318.HK,AAPL,AC.PA,AIR.PA,ALV.DE,AMZN,BABA,BRK-A,DAL,DIS,ENI.MI,HYG,IBND,IEF,LQD,MAR,MSFT,SHY,SIX,TIP,VIXY,VOW3.DE,^HSI,^NDX,^STOXX50E
2014-12-31,54.24464416503906,111.40721893310547,40.7157096862793,37.686737060546875,101.1789321899414,33.80813217163086,37.66713333129883,103.505126953125,310.3500061035156,103.94000244140625,226000.0,44.279449462890625,87.7863540649414,10.925684928894043,67.92137908935547,33.735660552978516,95.73187255859375,100.1543197631836,72.63710021972656,41.587284088134766,79.13370513916016,33.00553512573242,102.84835815429688,419.79998779296875,162.5892333984375,23721.30078125,4236.27978515625,3023.139892578125
2015-01-02,54.24464416503906,111.40721893310547,40.7157096862793,37.686737060546875,100.2164535522461,33.75381088256836,37.82654571533203,103.505126953125,308.5199890136719,103.5999984741211,223600.0,44.270442962646484,87.37626647949219,10.925684928894043,67.92137908935547,33.598228454589844,96.21957397460938,100.50660705566406,72.37643432617188,41.86484146118164,79.21804809570312,33.15851593017578,103.50944519042969,412.20001220703125,162.5892333984375,23721.30078125,4230.240234375,3023.139892578125
2015-01-05,53.438297271728516,112.09855651855469,39.974578857421875,37.30125045776367,97.39318084716797,33.31920623779297,37.9404182434082,100.96861267089844,302.19000244140625,101.0,220980.0,43.532310485839844,86.09940338134766,10.012089729309082,67.2922134399414,33.43136978149414,96.80668640136719,100.91756439208984,70.3936538696289,41.47986602783203,79.21804809570312,33.21970748901367,103.59208679199219,443.0,157.0656280517578,23721.3203125,4160.9599609375,3023.139892578125
2015-01-06,52.595306396484375,118.518310546875,38.909202575683594,36.32619857788086,97.40237426757812,32.622039794921875,38.81947326660156,101.08218383789062,295.2900085449219,103.31999969482422,220450.0,42.5061149597168,85.64270782470703,10.146883964538574,67.0344467163086,33.38227844238281,97.45702362060547,101.32856750488281,69.50932312011719,40.871036529541016,79.25553131103516,32.81431198120117,103.60128784179688,452.6000061035156,158.04562377929688,23485.41015625,4110.830078125,3007.909912109375
2015-01-07,52.045536041259766,122.86397552490234,38.95552444458008,36.48493576049805,98.76815032958984,32.78501892089844,39.83060073852539,102.02863311767578,298.4200134277344,102.12999725341797,223480.0,42.28108215332031,86.51881408691406,10.19930362701416,67.45138549804688,33.08781433105469,97.4389419555664,101.46276092529297,71.10112762451172,41.39031982421875,79.29300689697266,32.860206604003906,103.68389892578125,437.6000061035156,159.02561950683594,23681.259765625,4160.0,3026.7900390625
2015-01-08,52.192142486572266,125.72816467285156,39.55768585205078,37.14252471923828,102.56307220458984,33.441444396972656,41.187896728515625,104.71660614013672,300.4599914550781,105.02999877929688,226680.0,43.37928771972656,87.41353607177734,10.59619140625,67.959228515625,32.90134048461914,97.04154968261719,101.13565826416016,73.45628356933594,42.60794448852539,79.28364562988281,33.395633697509766,103.51862335205078,409.6000061035156,163.7919464111328,23835.529296875,4240.5498046875,3135.080078125
2015-01-09,52.118839263916016,125.62939453125,39.7892951965332,37.70941925048828,102.67304992675781,33.41427993774414,40.58212661743164,102.86153411865234,296.92999267578125,103.0199966430664,224675.0,42.2000617980957,87.84225463867188,10.19930362701416,68.3004150390625,32.97003936767578,97.52020263671875,101.40406799316406,73.28871154785156,42.24981689453125,79.34920501708984,33.120269775390625,103.830810546875,425.6000061035156,161.1637725830078,23919.94921875,4213.27978515625,3042.89990234375
2015-01-12,52.118839263916016,125.53063201904297,39.83561325073242,37.43730926513672,100.14311981201172,33.785499572753906,40.946495056152344,103.42940521240234,291.4100036621094,101.62000274658203,222424.0,41.461910247802734,88.0379867553711,10.251721382141113,68.21697235107422,32.99948501586914,97.86345672607422,101.59696960449219,72.52538299560547,41.721588134765625,79.3960952758789,33.441532135009766,103.80327606201172,445.79998779296875,161.92103576660156,24026.4609375,4169.97021484375,3084.179931640625
2015-01-13,52.26545333862305,126.22198486328125,40.66938781738281,37.61870574951172,101.03227996826172,34.36043930053711,41.50672149658203,105.51162719726562,294.739990234375,100.7699966430664,223000.0,41.95701217651367,88.7183609008789,10.416467666625977,68.21697235107422,33.01912307739258,97.95379638671875,101.689208984375,72.06925964355469,41.5067138671875,79.44295501708984,33.670997619628906,103.63800811767578,458.6000061035156,165.52919006347656,24215.970703125,4166.2001953125,3133.860107421875
2015-01-14,51.93558120727539,124.4442138671875,40.76201629638672,37.800113677978516,100.64728546142578,33.54556655883789,41.11957550048828,104.4137191772461,293.2699890136719,99.58000183105469,221878.0,40.786781311035156,87.82362365722656,10.109440803527832,68.05782318115234,33.05838394165039,98.40538024902344,101.86534881591797,71.27798461914062,41.14857864379883,79.48979949951172,33.28855895996094,104.2531967163086,466.79998779296875,163.52467346191406,24112.599609375,4145.83984375,3089.669921875
2015-01-15,51.752323150634766,125.33309936523438,41.68843460083008,39.29670715332031,97.9156723022461,34.5867919921875,42.14893341064453,106.49594116210938,286.95001220703125,96.30999755859375,221510.0,40.5527458190918,87.93545532226562,10.483864784240723,67.64088439941406,32.67558288574219,99.24536895751953,102.39379119873047,70.84046936035156,40.718841552734375,79.61161041259766,32.87550735473633,105.07958221435547,481.20001220703125,166.15283203125,24350.91015625,4089.64990234375,3157.360107421875
2015-01-16,51.459102630615234,120.39483642578125,41.364192962646484,40.04499435424805,97.15485382080078,35.388084411621094,42.26280212402344,107.89671325683594,290.739990234375,96.88999938964844,223615.0,41.26388168334961,88.70903778076172,10.835824012756348,67.89862823486328,32.54798889160156,98.51375579833984,101.82341766357422,70.64497375488281,41.39928436279297,79.53666687011719,32.92139434814453,104.491943359375,471.0,170.87460327148438,24103.51953125,4142.14013671875,3202.239990234375
2015-01-19,51.275848388671875,121.48125457763672,41.549468994140625,36.82506561279297,98.40607833862305,35.66875457763672,42.49509048461914,107.6316909790039,290.0899963378906,98.46500015258789,223125.5,42.762664794921875,88.50399398803711,10.745962142944336,67.83799743652344,32.46946144104004,98.62665176391602,101.94083404541016,70.84512710571289,41.4664249420166,79.51791381835938,32.959638595581055,104.61589431762695,468.8999938964844,171.6318359375,23738.490234375,4156.675048828125,3220.89990234375
2015-01-20,51.459102630615234,122.56768035888672,41.317867279052734,37.91349792480469,99.65730285644531,35.84983825683594,42.88679122924805,107.89671325683594,289.44000244140625,100.04000091552734,222636.0,44.26144790649414,88.2989501953125,10.686054229736328,67.7773666381836,32.390933990478516,98.73954772949219,102.0582504272461,71.04528045654297,41.533565521240234,79.49916076660156,32.99788284301758,104.7398452758789,466.79998779296875,171.98822021484375,23951.16015625,4171.2099609375,3244.919921875
2015-01-21,51.752323150634766,127.1108627319336,41.50314712524414,39.27402114868164,100.4181137084961,36.99518966674805,42.64994430541992,108.50244140625,297.25,103.29000091552734,220895.0,44.270442962646484,87.7677001953125,11.060478210449219,68.14119720458984,32.4989013671875,98.2698974609375,102.01629638671875,70.98943328857422,41.112770080566406,79.49916076660156,32.92904281616211,104.30830383300781,444.20001220703125,173.32456970214844,24352.580078125,4192.08984375,3269.72998046875
2015-01-22,52.70526123046875,129.97508239746094,41.7347526550293,38.6844596862793,103.03055572509766,37.950401306152344,43.114524841308594,109.71390533447266,310.32000732421875,104.0,224915.0,45.638710021972656,88.68107604980469,11.307598114013672,68.23217010498047,31.949228286743164,98.02601623535156,101.96601867675781,73.05599975585938,42.19610595703125,79.47105407714844,33.242652893066406,104.33582305908203,416.20001220703125,176.48727416992188,24522.630859375,4270.35986328125,3322.64990234375
2015-01-23,53.584896087646484,131.0614776611328,41.64211654663086,39.523460388183594,103.56219482421875,39.56203842163086,44.89084243774414,111.87184143066406,312.3900146484375,103.11000061035156,223751.0,45.512691497802734,88.28031158447266,11.270155906677246,68.23217010498047,31.713666915893555,98.66732025146484,102.5615005493164,73.08390045166016,42.240867614746094,79.50852966308594,33.06673049926758,104.96940612792969,426.79998779296875,181.56539916992188,24850.44921875,4278.14013671875,3382.550048828125
2015-01-26,53.218387603759766,135.3083953857422,42.058998107910156,39.75020980834961,103.67218780517578,40.236572265625,45.67424774169922,112.59114837646484,309.6600036621094,103.98999786376953,224184.0,45.143619537353516,88.5133285522461,11.374993324279785,68.54295349121094,31.733295440673828,98.4415054321289,102.53633117675781,73.93101501464844,42.08866500854492,79.46170043945312,33.495079040527344,104.79493713378906,407.6000061035156,182.85719299316406,24909.900390625,4275.72021484375,3414.280029296875
2015-01-27,53.73152542114258,134.32073974609375,42.383243560791016,38.91122055053711,100.04229736328125,39.39453125,44.699546813964844,111.15252685546875,306.75,102.94000244140625,221511.0,44.270442962646484,87.581298828125,11.397459030151367,68.48989868164062,32.145545959472656,98.57701873779297,102.61183166503906,73.17700958251953,38.194061279296875,79.50852966308594,33.8698844909668,105.12548828125,425.20001220703125,179.91722106933594,24807.279296875,4165.5,3372.580078125
2015-01-28,53.5115966796875,135.2096405029297,42.9390869140625,38.480384826660156,105.69796752929688,39.6571044921875,44.59479522705078,111.87184143066406,303.9100036621094,98.44999694824219,217160.0,43.62232971191406,86.36968231201172,11.38248062133789,68.34587860107422,32.02775573730469,99.3356704711914,103.30799865722656,71.58519744873047,36.8779411315918,79.56472778320312,33.502716064453125,105.52953338623047,461.20001220703125,181.92176818847656,24861.810546875,4140.3798828125,3358.9599609375
2015-01-29,52.99849319458008,132.9380340576172,41.781070709228516,37.61870574951172,108.98871612548828,39.90609359741211,43.97536087036133,112.21257781982422,311.7799987792969,89.80999755859375,219998.0,45.1976318359375,86.88228607177734,11.180294036865234,68.58845520019531,31.968868255615234,98.98345184326172,103.06475830078125,71.78067779541016,37.61210632324219,79.53666687011719,33.54096984863281,105.41016387939453,445.6000061035156,181.87721252441406,24595.849609375,4181.35009765625,3371.830078125
2015-01-30,53.108428955078125,130.37013244628906,41.9200325012207,37.459983825683594,107.39376831054688,40.1324462890625,42.99610137939453,110.84966278076172,354.5299987792969,89.08000183105469,215865.0,42.58713150024414,84.77593994140625,11.157827377319336,68.39891815185547,31.99831771850586,99.85054016113281,103.91190338134766,69.35106658935547,36.170650482177734,79.63035583496094,32.860206604003906,106.1722640991211,491.0,176.6654510498047,24507.05078125,4148.43017578125,3351.43994140625
2015-02-02,52.228797912597656,134.12319946289062,41.873714447021484,36.59830856323242,108.74124145507812,39.74764633178711,42.69548797607422,112.78044891357422,364.4700012207031,90.12999725341797,220100.0,41.86699295043945,85.67999267578125,11.300108909606934,68.66150665283203,32.047393798828125,99.72569274902344,104.00859069824219,69.63031768798828,36.958526611328125,79.60502624511719,33.64806365966797,106.09883117675781,464.20001220703125,180.1844940185547,24484.740234375,4188.58984375,3370.110107421875
2015-02-03,52.412052154541016,133.43185424804688,41.364192962646484,37.822792053222656,108.75955963134766,40.08264923095703,43.03709030151367,113.7269058227539,363.54998779296875,90.61000061035156,222183.0,41.41690444946289,87.70246124267578,11.719463348388672,69.04969024658203,32.41056442260742,98.88428497314453,103.16759490966797,71.33385467529297,37.24503707885742,79.53942108154297,33.83162307739258,105.6121597290039,442.20001220703125,184.50535583496094,24554.779296875,4229.14990234375,3414.179931640625
2015-02-04,53.07179260253906,132.24664306640625,41.271541595458984,37.64138412475586,109.59370422363281,40.24562454223633,43.392356872558594,113.27261352539062,364.75,90.0,221027.0,42.27206802368164,94.39430236816406,11.554718017578125,68.76045227050781,32.15535354614258,99.04718780517578,103.31057739257812,70.69153594970703,37.45989227294922,79.5488052368164,33.77044677734375,105.83252716064453,454.6000061035156,186.91078186035156,24679.759765625,4221.2001953125,3415.530029296875
2015-02-05,52.9251823425293,133.53062438964844,41.2252311706543,37.64138412475586,110.37590789794922,40.6530647277832,44.098331451416016,112.62902069091797,373.8900146484375,87.0,224560.0,41.53392791748047,95.6618423461914,11.749417304992676,69.16386413574219,32.38111114501953,98.6852798461914,102.9825668334961,70.4681167602539,38.00604248046875,79.52069854736328,34.28292465209961,105.37340545654297,437.6000061035156,189.49436950683594,24765.490234375,4256.18017578125,3408.9599609375
2015-02-06,53.401649475097656,132.54296875,40.94730758666992,37.14252471923828,109.44646453857422,40.951847076416016,44.039119720458984,112.931884765625,374.2799987792969,85.68000030517578,224880.0,40.966827392578125,95.08401489257812,11.652067184448242,69.21714782714844,31.91979217529297,97.58152770996094,101.90605926513672,69.09040832519531,37.97022247314453,79.33319091796875,34.22173309326172,104.54704284667969,456.3999938964844,190.87530517578125,24679.390625,4228.68017578125,3398.159912109375
